COMPOSITE TABLE
 Factors               i      j   t PlotOutput
  SprPuw    201815094122 St0118  22       25.5
  Decids    201815094122 St0118  22       76.9
  ResStm    201815094122 St0118  22       54.7
  ResRot    201815094122 St0118  22       37.9
  PinPuw    201815094122 St0119  17       21.2
  SprPuw    201815094122 St0119  17        7.9
  ResRot    201815094122 St0119  17        5.8
  PinTim    201815094122 St0119  21       53.5
  SprTim    201815094122 St0119  21       27.6
  PinPuw    201815094122 St0119  21       42.9
  SprPuw    201815094122 St0119  21       23.8
  Decids    201815094122 St0119  21       68.6
  ResStm    201815094122 St0119  21       49.8
  ResRot    201815094122 St0119  21       34.3
  PinPuw    201815094122 St0120  17       21.2
  SprPuw    201815094122 St0120  17        7.9
  ResRot    201815094122 St0120  17        5.8
  PinTim    201815094122 St0120  20       45.9
  SprTim    201815094122 St0120  20       21.5
  PinPuw    201815094122 St0120  20       40.8
  SprPuw    201815094122 St0120  20       21.8
  Decids    201815094122 St0120  20       60.3
  ResStm    201815094122 St0120  20       44.9
  ResRot    201815094122 St0120  20       30.6
  SprTim    201815094122 St0121   3       62.1
  SprPuw    201815094122 St0121   3       63.1
  Decids    201815094122 St0121   3       78.8
  ResStm    201815094122 St0121   3       48.0
  ResRot    201815094122 St0121   3       32.8
  PinPuw    201815094122 St0122  17       23.7
  SprPuw    201815094122 St0122  17        9.8
  ResRot    201815094122 St0122  17        6.5
  PinPuw    201815094122 St0123  17       23.7
  SprPuw    201815094122 St0123  17        9.8
  ResRot    201815094122 St0123  17        6.5
  PinPuw    201815094122 St0123  22       12.5
  SprPuw    201815094122 St0123  22        7.5
  Decids    201815094122 St0123  22       74.3
  ResStm    201815094122 St0123  22       25.6
  ResRot    201815094122 St0123  22       14.5
  PinPuw    201815094122 St0124  17       23.7
  SprPuw    201815094122 St0124  17        9.8
  ResRot    201815094122 St0124  17        6.5
  PinTim    201815094122 St0124  22       65.9
  SprTim    201815094122 St0124  22       39.9
  PinPuw    201815094122 St0124  22       46.5
  SprPuw    201815094122 St0124  22       27.6
  Decids    201815094122 St0124  22       82.5
  ResStm    201815094122 St0124  22       58.1
  ResRot    201815094122 St0124  22       40.6
  PinPuw    201815094122 St0125  17       23.7
  SprPuw    201815094122 St0125  17        9.8
  ResRot    201815094122 St0125  17        6.5
  PinTim    201815094122 St0125  21       58.4
  SprTim    201815094122 St0125  21       33.2
  PinPuw    201815094122 St0125  21       45.0
  SprPuw    201815094122 St0125  21       26.0
  Decids    201815094122 St0125  21       74.2
  ResStm    201815094122 St0125  21       53.4
  ResRot    201815094122 St0125  21       37.1
  PinPuw    201815094122 St0126  17       23.7
  SprPuw    201815094122 St0126  17        9.8
  ResRot    201815094122 St0126  17        6.5
  PinTim    201815094122 St0126  20       50.9
  SprTim    201815094122 St0126  20       26.8
  PinPuw    201815094122 St0126  20       43.2
  SprPuw    201815094122 St0126  20       24.2
  Decids    201815094122 St0126  20       65.9
  ResStm    201815094122 St0126  20       48.5
  ResRot    201815094122 St0126  20       33.5
  PinPuw    201815094122 St0127  17       13.0
  SprPuw    201815094122 St0127  17        5.4
  Decids    201815094122 St0127  17       35.2
  ResStm    201815094122 St0127  17       14.9
  ResRot    201815094122 St0127  17        9.0
  PinPuw    201815094122 St0128  17       13.0
  SprPuw    201815094122 St0128  17        5.4
  Decids    201815094122 St0128  17       35.2
  ResStm    201815094122 St0128  17       14.9
  ResRot    201815094122 St0128  17        9.0
  PinTim    201815094122 St0128  22       23.8
  PinPuw    201815094122 St0128  22       18.0
  SprPuw    201815094122 St0128  22       24.6
  Decids    201815094122 St0128  22        2.5
  ResStm    201815094122 St0128  22       14.0
  ResRot    201815094122 St0128  22       11.3
  PinPuw    201815094122 St0129  17       13.0
  SprPuw    201815094122 St0129  17        5.4
  Decids    201815094122 St0129  17       35.2
  ResStm    201815094122 St0129  17       14.9
  ResRot    201815094122 St0129  17        9.0
  PinTim    201815094122 St0129  22       79.5
  SprTim    201815094122 St0129  22       47.2
  PinPuw    201815094122 St0129  22       59.9
  SprPuw    201815094122 St0129  22       34.7
  Decids    201815094122 St0129  22        8.2
  ResStm    201815094122 St0129  22       45.1
  ResRot    201815094122 St0129  22       36.5
  PinPuw    201815094122 St0130  17       13.0
  SprPuw    201815094122 St0130  17        5.4
  Decids    201815094122 St0130  17       35.2
  ResStm    201815094122 St0130  17       14.9
  ResRot    201815094122 St0130  17        9.0
  PinTim    201815094122 St0130  21       69.9
  SprTim    201815094122 St0130  21       38.8
  PinPuw    201815094122 St0130  21       57.1
  SprPuw    201815094122 St0130  21       32.2
  Decids    201815094122 St0130  21        7.3
  ResStm    201815094122 St0130  21       41.4
